Fiscal Year,Business Unit,Journal Entry Number,Period,Effective Date,Source,GL Account Number,GL Account Name,Functional Amount,Functional Currency Code,JE Description,Preparer ID,Entry Date,JE Line Number,JE Line Description,User Defined Field 1,User Defined Field 2,User Defined Field 3
2024,Eddey Finance,10013,2025-01,2025-01-25,Manual Entry,7000,Interest Expense,-13846.14,EUR,Customer refund,user2,2025-01-25 03:50:00,13,Customer refund,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10014,2024-06,2024-06-16,Adjustment,1200,Accounts Receivable,29913.95,EUR,Year-end adjustment,user5,2024-06-16 06:20:00,14,Year-end adjustment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10015,2024-03,2024-03-26,Tax,1000,Cash,-39577.22,EUR,Tax payment,admin,2024-03-26 06:40:00,15,Tax payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10016,2024-06,2024-06-09,Manual Entry,1500,Fixed Assets,29169.64,EUR,Investment income,user4,2024-06-09 09:52:00,16,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10017,2024-02,2024-02-25,Investment,5100,Direct Labor,2274.54,EUR,Supplier payment,admin,2024-02-25 10:03:00,17,Supplier payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10018,2024-02,2024-02-16,Payroll,2000,Accounts Payable,-21209.26,EUR,Bonus payout,user5,2024-02-16 09:47:00,18,Bonus payout,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10019,2024-09,2024-09-25,Purchase,3100,Retained Earnings,42515.91,EUR,Year-end adjustment,user2,2024-09-25 08:59:00,19,Year-end adjustment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10020,2024-05,2024-05-29,Manual Entry,2100,Accrued Expenses,-14989.44,EUR,Supplier payment,admin,2024-05-29 00:19:00,20,Supplier payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10021,2024-06,2024-06-21,Purchase,3100,Retained Earnings,-29131.26,EUR,Investment income,user4,2024-06-21 09:56:00,21,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10022,2024-06,2024-06-30,Purchase,1000,Cash,-20591.21,EUR,Tax payment,user4,2024-06-30 13:54:00,22,Tax payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10023,2025-03,2025-03-01,Tax,2000,Accounts Payable,-33384.97,EUR,Bonus payout,user1,2025-03-01 11:01:00,23,Bonus payout,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10024,2024-09,2024-09-08,Adjustment,6100,Office Expenses,-23162.18,EUR,Investment income,user1,2024-09-08 02:53:00,24,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10025,2024-02,2024-02-08,Adjustment,6100,Office Expenses,-24450.69,EUR,Investment income,user5,2024-02-08 02:27:00,25,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10026,2024-03,2024-03-11,Loan Payment,2200,Short-Term Loan,-32988.64,EUR,Investment income,user1,2024-03-11 00:56:00,26,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10027,2024-07,2024-07-30,Manual Entry,6200,Depreciation Expense,27875.85,EUR,Bonus payout,user4,2024-07-30 17:55:00,27,Bonus payout,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10028,2024-09,2024-09-05,Purchase,2100,Accrued Expenses,33138.92,EUR,Manual correction entry,user3,2024-09-05 17:43:00,28,Manual correction entry,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10029,2025-02,2025-02-10,Manual Entry,2000,Accounts Payable,-44070.44,EUR,Year-end adjustment,user3,2025-02-10 15:35:00,29,Year-end adjustment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10030,2024-09,2024-09-19,Adjustment,6000,Salaries Expense,5267.28,EUR,Manual correction entry,user3,2024-09-19 20:34:00,30,Manual correction entry,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10031,2024-11,2024-11-21,Payroll,3000,Owner's Equity,-29632.97,EUR,Investment income,user3,2024-11-21 14:02:00,31,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10032,2024-06,2024-06-20,Adjustment,6200,Depreciation Expense,19343.92,EUR,Investment income,user5,2024-06-20 09:19:00,32,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10033,2024-12,2024-12-30,Adjustment,3000,Owner's Equity,19585.36,EUR,Loan repayment,admin,2024-12-30 08:57:00,33,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10034,2024-01,2024-01-02,Loan Payment,3100,Retained Earnings,8530.54,EUR,Manual correction entry,user2,2024-01-02 08:33:00,34,Manual correction entry,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10035,2024-09,2024-09-20,Purchase,1500,Fixed Assets,-10194.21,EUR,Manual correction entry,user5,2024-09-20 23:54:00,35,Manual correction entry,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10036,2024-04,2024-04-10,Tax,8000,Tax Expense,-46673.74,EUR,Investment income,user1,2024-04-10 11:24:00,36,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10037,2025-03,2025-03-29,Manual Entry,1000,Cash,41207.45,EUR,Bonus payout,user2,2025-03-29 12:13:00,37,Bonus payout,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10038,2024-02,2024-02-14,Sales,5000,Cost of Goods Sold,-21712.97,EUR,Manual correction entry,user3,2024-02-14 17:20:00,38,Manual correction entry,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10039,2024-02,2024-02-02,Investment,1400,Prepaid Expenses,27020.52,EUR,Investment income,admin,2024-02-02 08:58:00,39,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10040,2024-03,2024-03-17,Manual Entry,6100,Office Expenses,45601.19,EUR,Manual correction entry,user5,2024-03-17 13:46:00,40,Manual correction entry,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10041,2024-02,2024-02-18,Purchase,8000,Tax Expense,-19297.36,EUR,Year-end adjustment,user2,2024-02-18 08:20:00,41,Year-end adjustment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10042,2025-03,2025-03-17,Sales,5100,Direct Labor,4961.19,EUR,Employee salary payment,user1,2025-03-17 04:25:00,42,Employee salary payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10043,2025-01,2025-01-22,Depreciation,6000,Salaries Expense,-12313.13,EUR,Intercompany transaction,user4,2025-01-22 14:07:00,43,Intercompany transaction,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10044,2025-01,2025-01-30,Tax,9999,Suspense Account,28769.49,EUR,Customer refund,user3,2025-01-30 14:31:00,44,Customer refund,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10045,2024-11,2024-11-22,Manual Entry,6000,Salaries Expense,22908.01,EUR,Investment income,user2,2024-11-22 13:31:00,45,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10046,2024-01,2024-01-08,Loan Payment,8000,Tax Expense,27642.7,EUR,Bonus payout,admin,2024-01-08 12:13:00,46,Bonus payout,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10047,2025-03,2025-03-16,Investment,9999,Suspense Account,-49576.24,EUR,Investment income,user1,2025-03-16 11:15:00,47,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10048,2024-03,2024-03-08,Loan Payment,1200,Accounts Receivable,19458.23,EUR,Loan repayment,user1,2024-03-08 17:42:00,48,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10049,2024-08,2024-08-27,Investment,7000,Interest Expense,-6518.33,EUR,Asset depreciation,user1,2024-08-27 13:46:00,49,Asset depreciation,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10050,2024-09,2024-09-26,Adjustment,6200,Depreciation Expense,-28964.17,EUR,Intercompany transaction,user4,2024-09-26 21:13:00,50,Intercompany transaction,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10051,2024-09,2024-09-19,Tax,6200,Depreciation Expense,-7144.14,EUR,Asset depreciation,admin,2024-09-19 02:55:00,51,Asset depreciation,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10052,2024-03,2024-03-02,Depreciation,4100,Other Income,-5681.93,EUR,Supplier payment,user3,2024-03-02 19:59:00,52,Supplier payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10053,2025-02,2025-02-04,Sales,2100,Accrued Expenses,24124.92,EUR,Asset depreciation,user5,2025-02-04 06:08:00,53,Asset depreciation,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10054,2025-03,2025-03-29,Adjustment,7000,Interest Expense,39748.22,EUR,Loan repayment,user4,2025-03-29 04:44:00,54,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10055,2024-08,2024-08-13,Tax,1500,Fixed Assets,38886.29,EUR,Customer refund,user2,2024-08-13 07:27:00,55,Customer refund,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10056,2024-01,2024-01-25,Adjustment,1000,Cash,-2475.16,EUR,Employee salary payment,admin,2024-01-25 11:28:00,56,Employee salary payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10057,2024-10,2024-10-11,Payroll,3000,Owner's Equity,-26636.83,EUR,Intercompany transaction,user4,2024-10-11 13:54:00,57,Intercompany transaction,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10058,2025-02,2025-02-18,Purchase,3100,Retained Earnings,12582.81,EUR,Manual correction entry,user2,2025-02-18 13:20:00,58,Manual correction entry,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10059,2024-12,2024-12-11,Tax,3100,Retained Earnings,-5118,EUR,Bonus payout,user5,2024-12-11 17:27:00,59,Bonus payout,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10060,2024-10,2024-10-26,Manual Entry,9999,Suspense Account,-26233.69,EUR,Employee salary payment,user3,2024-10-26 02:27:00,60,Employee salary payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10061,2025-02,2025-02-13,Investment,6200,Depreciation Expense,19314.16,EUR,Supplier payment,user3,2025-02-13 14:10:00,61,Supplier payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10062,2024-12,2024-12-11,Purchase,5200,Manufacturing Overhead,-31136.35,EUR,Intercompany transaction,user3,2024-12-11 14:28:00,62,Intercompany transaction,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10063,2024-08,2024-08-16,Payroll,2200,Short-Term Loan,-33347.43,EUR,Tax payment,admin,2024-08-16 21:20:00,63,Tax payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10064,2024-05,2024-05-25,Payroll,5000,Cost of Goods Sold,46975.85,EUR,Asset depreciation,admin,2024-05-25 04:13:00,64,Asset depreciation,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10065,2024-12,2024-12-15,Investment,9999,Suspense Account,27715.27,EUR,Loan repayment,user5,2024-12-15 13:20:00,65,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10066,2024-01,2024-01-27,Adjustment,2100,Accrued Expenses,-9665.73,EUR,Tax payment,user3,2024-01-27 06:42:00,66,Tax payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10067,2024-08,2024-08-05,Depreciation,7000,Interest Expense,-47633.11,EUR,Employee salary payment,admin,2024-08-05 10:41:00,67,Employee salary payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10068,2024-06,2024-06-25,Manual Entry,6100,Office Expenses,-14173.59,EUR,Bonus payout,admin,2024-06-25 16:26:00,68,Bonus payout,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10069,2025-03,2025-03-26,Tax,5000,Cost of Goods Sold,-13503.83,EUR,Customer refund,user2,2025-03-26 12:02:00,69,Customer refund,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10070,2024-02,2024-02-12,Depreciation,6100,Office Expenses,-48026.67,EUR,Supplier payment,user1,2024-02-12 18:46:00,70,Supplier payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10071,2024-10,2024-10-20,Tax,1500,Fixed Assets,-31560.31,EUR,Employee salary payment,user3,2024-10-20 00:33:00,71,Employee salary payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10072,2024-02,2024-02-17,Investment,4100,Other Income,5288.6,EUR,Supplier payment,user4,2024-02-17 17:17:00,72,Supplier payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10073,2024-07,2024-07-10,Tax,9999,Suspense Account,-7471.18,EUR,Tax payment,admin,2024-07-10 04:12:00,73,Tax payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10074,2025-01,2025-01-18,Tax,3000,Owner's Equity,49706.21,EUR,Supplier payment,user4,2025-01-18 22:02:00,74,Supplier payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10075,2024-12,2024-12-24,Depreciation,9999,Suspense Account,42848.68,EUR,Investment income,user3,2024-12-24 13:58:00,75,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10076,2024-12,2024-12-21,Loan Payment,2100,Accrued Expenses,-38462.98,EUR,Tax payment,user4,2024-12-21 04:32:00,76,Tax payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10077,2024-05,2024-05-04,Manual Entry,1300,Inventory,28974.55,EUR,Monthly sales revenue,user4,2024-05-04 08:03:00,77,Monthly sales revenue,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10078,2024-05,2024-05-01,Purchase,5100,Direct Labor,43640.3,EUR,Investment income,user2,2024-05-01 13:21:00,78,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10079,2024-10,2024-10-10,Purchase,4100,Other Income,-42203.78,EUR,Employee salary payment,user3,2024-10-10 21:01:00,79,Employee salary payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10080,2025-03,2025-03-31,Sales,1400,Prepaid Expenses,-36633.42,EUR,Loan repayment,admin,2025-03-31 17:32:00,80,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10081,2025-02,2025-02-25,Loan Payment,6200,Depreciation Expense,-19966.47,EUR,Loan repayment,user2,2025-02-25 10:16:00,81,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10082,2024-03,2024-03-24,Manual Entry,6200,Depreciation Expense,15140.46,EUR,Manual correction entry,admin,2024-03-24 07:29:00,82,Manual correction entry,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10083,2024-10,2024-10-18,Payroll,2200,Short-Term Loan,-47113.18,EUR,Intercompany transaction,user3,2024-10-18 22:47:00,83,Intercompany transaction,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10084,2024-09,2024-09-21,Purchase,3100,Retained Earnings,-6217.34,EUR,Intercompany transaction,user3,2024-09-21 03:23:00,84,Intercompany transaction,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10085,2024-05,2024-05-26,Purchase,4100,Other Income,-8352.74,EUR,Loan repayment,user4,2024-05-26 13:02:00,85,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10086,2024-07,2024-07-17,Investment,4000,Revenue,696.8,EUR,Loan repayment,user5,2024-07-17 04:53:00,86,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10087,2025-02,2025-02-27,Payroll,1300,Inventory,-8316.85,EUR,Customer refund,user2,2025-02-27 00:34:00,87,Customer refund,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10088,2024-05,2024-05-28,Manual Entry,2100,Accrued Expenses,1426.18,EUR,Tax payment,user1,2024-05-28 21:40:00,88,Tax payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10089,2024-09,2024-09-21,Manual Entry,8000,Tax Expense,45840.91,EUR,Monthly sales revenue,user4,2024-09-21 06:32:00,89,Monthly sales revenue,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10090,2024-10,2024-10-25,Sales,4100,Other Income,40242.51,EUR,Bonus payout,user2,2024-10-25 02:28:00,90,Bonus payout,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10091,2024-12,2024-12-31,Adjustment,6100,Office Expenses,35443.31,EUR,Asset depreciation,user2,2024-12-31 06:15:00,91,Asset depreciation,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10092,2024-04,2024-04-04,Purchase,4000,Revenue,3785.6,EUR,Customer refund,admin,2024-04-04 06:18:00,92,Customer refund,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10093,2024-07,2024-07-28,Adjustment,3000,Owner's Equity,-5528.92,EUR,Supplier payment,user1,2024-07-28 22:25:00,93,Supplier payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10094,2024-03,2024-03-23,Manual Entry,1400,Prepaid Expenses,45470.68,EUR,Supplier payment,user5,2024-03-23 10:16:00,94,Supplier payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10095,2024-09,2024-09-02,Manual Entry,6000,Salaries Expense,-38705.39,EUR,Manual correction entry,user5,2024-09-02 05:16:00,95,Manual correction entry,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10096,2024-02,2024-02-21,Loan Payment,9999,Suspense Account,1540.91,EUR,Customer refund,user1,2024-02-21 18:24:00,96,Customer refund,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10097,2025-02,2025-02-28,Investment,3100,Retained Earnings,-48779.02,EUR,Investment income,user5,2025-02-28 00:43:00,97,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10098,2024-05,2024-05-22,Payroll,6100,Office Expenses,-38944.15,EUR,Loan repayment,user5,2024-05-22 18:42:00,98,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10099,2024-12,2024-12-27,Adjustment,6200,Depreciation Expense,6224.09,EUR,Loan repayment,user5,2024-12-27 13:43:00,99,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10100,2024-06,2024-06-17,Investment,2200,Short-Term Loan,-12736.54,EUR,Year-end adjustment,user1,2024-06-17 00:50:00,100,Year-end adjustment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10101,2024-12,2024-12-18,Purchase,5000,Cost of Goods Sold,-43560.94,EUR,Investment income,user1,2024-12-18 13:05:00,101,Investment income,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10102,2025-01,2025-01-11,Investment,6200,Depreciation Expense,-23310.36,EUR,Loan repayment,user2,2025-01-11 14:53:00,102,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
